id_paket,id_tindakan,id_komponen,tarif_kelas_3,tarif_kelas_2,tarif_kelas_1,tarif_vip,tarif_vvip
66,14,4,1125000,1500000,2025000,2775000,3525000
67,14,6,525000,700000,950000,1300000,1650000
68,14,10,450000,600000,800000,1100000,1400000
69,14,19,300000,400000,550000,750000,950000
70,15,1,2075000,2725000,3525000,4800000,6075000
71,15,4,1050000,1350000,1775000,2400000,3050000
72,15,10,450000,600000,775000,1050000,1325000
73,15,19,250000,350000,450000,600000,750000
74,16,1,1450000,1850000,2500000,3350000,4325000
75,16,4,725000,925000,1250000,1675000,2150000
76,16,10,325000,400000,550000,725000,950000
77,16,19,175000,225000,325000,425000,550000
78,17,1,1025000,1350000,1800000,2500000,3200000
79,17,4,500000,675000,900000,1250000,1600000
80,17,10,225000,300000,400000,550000,700000
81,17,19,125000,175000,225000,325000,400000
82,18,1,1200000,1625000,2150000,3000000,3900000
83,18,4,600000,800000,1075000,1500000,1950000
84,18,13,275000,375000,500000,700000,900000
85,18,10,250000,325000,425000,600000,775000
86,18,19,150000,225000,275000,400000,525000
87,19,1,3300000,4350000,5700000,7800000,9900000
88,19,4,1650000,2175000,2850000,3900000,4950000
89,19,13,775000,1025000,1325000,1825000,2300000
90,19,10,650000,875000,1150000,1550000,2000000
91,19,19,450000,575000,750000,1050000,1325000
92,20,1,1600000,2175000,2875000,4000000,5125000
93,20,4,800000,1075000,1450000,2000000,2550000
94,20,10,350000,475000,625000,875000,1125000
95,20,19,200000,275000,350000,500000,650000
96,21,1,1650000,2250000,3000000,4200000,5400000
97,21,4,825000,1125000,1500000,2100000,2700000
98,21,13,375000,525000,700000,975000,1250000
99,21,10,325000,450000,600000,850000,1075000
100,21,19,225000,300000,400000,550000,725000
101,22,1,3450000,4500000,6000000,8250000,10500000
102,22,4,1725000,2250000,3000000,4125000,5250000
103,22,13,800000,1050000,1400000,1925000,2450000
104,22,10,700000,900000,1200000,1650000,2100000
105,22,19,450000,600000,800000,1100000,1400000
106,23,1,2700000,3600000,4800000,6600000,8400000
107,23,4,1350000,1800000,2400000,3300000,4200000
108,23,13,625000,850000,1125000,1550000,1950000
109,23,10,550000,725000,950000,1325000,1675000
110,23,19,350000,475000,650000,875000,1125000
111,24,1,2400000,3150000,4200000,5850000,7500000
112,24,4,1200000,1575000,2100000,2925000,3750000
113,24,13,550000,725000,975000,1375000,1750000
114,24,10,475000,625000,850000,1175000,1500000
115,24,19,325000,425000,550000,775000,1000000
116,25,1,1950000,2650000,3450000,4800000,6150000
117,25,4,975000,1325000,1725000,2400000,3075000
118,25,13,450000,625000,800000,1125000,1425000
119,25,10,400000,525000,700000,950000,1225000
120,25,19,250000,350000,450000,650000,825000
121,26,1,7500000,9900000,13200000,17700000,22500000
122,26,4,3750000,4950000,6600000,8850000,11250000
123,26,13,1750000,2300000,3075000,4125000,5250000
124,26,10,1500000,1975000,2650000,3550000,4500000
125,26,19,1000000,1325000,1775000,2350000,3000000
126,27,1,2100000,2850000,3850000,5250000,6750000
127,27,4,1050000,1425000,1925000,2625000,3375000
128,27,13,500000,675000,900000,1225000,1575000
129,27,10,425000,575000,775000,1050000,1350000
130,27,19,275000,375000,525000,700000,900000
131,28,1,3600000,4800000,6450000,8850000,11400000
132,28,4,1800000,2400000,3225000,4425000,5700000
133,28,13,850000,1125000,1500000,2075000,2650000
134,28,10,725000,950000,1300000,1775000,2275000
135,28,19,475000,650000,850000,1175000,1525000
136,29,1,5400000,7200000,9600000,13200000,16800000
137,29,4,2700000,3600000,4800000,6600000,8400000
138,29,13,1250000,1675000,2250000,3075000,3925000
139,29,10,1075000,1450000,1925000,2650000,3350000
140,29,19,725000,950000,1275000,1775000,2250000
141,30,1,3300000,4450000,5850000,8100000,10350000
142,30,4,1650000,2225000,2925000,4050000,5175000
143,30,13,775000,1025000,1375000,1900000,2425000
144,30,10,650000,900000,1175000,1625000,2075000
145,30,19,450000,600000,775000,1075000,1375000
146,31,1,2550000,3450000,4500000,6300000,8100000
147,31,4,1275000,1725000,2250000,3150000,4050000
148,31,13,600000,800000,1050000,1475000,1875000
149,31,10,500000,700000,900000,1250000,1625000
150,31,19,350000,450000,600000,850000,1075000
151,32,1,3150000,4200000,5550000,7500000,9600000
152,32,4,1575000,2100000,2775000,3750000,4800000
153,32,13,725000,975000,1300000,1750000,2250000
154,32,10,625000,850000,1100000,1500000,1925000
155,32,19,425000,550000,750000,1000000,1275000
156,33,1,3300000,4350000,5700000,7800000,9900000
157,33,4,1650000,2175000,2850000,3900000,4950000
158,33,13,775000,1025000,1325000,1825000,2300000
159,33,10,650000,875000,1150000,1550000,2000000
160,33,19,450000,575000,750000,1050000,1325000
161,34,1,1500000,2050000,2700000,3750000,4800000
162,34,4,750000,1025000,1350000,1875000,2400000
163,34,13,350000,475000,625000,875000,1125000
164,34,10,300000,400000,550000,750000,950000
165,34,19,200000,275000,350000,500000,650000
166,35,1,1450000,1950000,2650000,3600000,4650000
167,35,4,725000,975000,1325000,1800000,2325000
168,35,13,325000,450000,625000,850000,1075000
169,35,10,300000,400000,525000,725000,925000
170,35,19,200000,250000,350000,475000,625000
171,36,1,2700000,3600000,4750000,6450000,8250000
172,36,4,1350000,1800000,2375000,3225000,4125000
173,36,13,625000,850000,1100000,1500000,1925000
174,36,10,550000,725000,950000,1300000,1650000
175,36,19,350000,475000,625000,850000,1100000
176,37,1,1800000,2400000,3250000,4500000,5700000
177,37,4,900000,1200000,1625000,2250000,2850000
178,37,13,425000,550000,750000,1050000,1325000
179,37,10,350000,475000,650000,900000,1150000
180,37,19,250000,325000,425000,600000,750000
181,38,1,2250000,3050000,4150000,5700000,7200000
182,38,4,1125000,1525000,2075000,2850000,3600000
183,38,13,525000,725000,975000,1325000,1675000
184,38,10,450000,625000,825000,1150000,1450000
185,38,19,300000,400000,550000,750000,975000
186,39,1,1350000,1800000,2400000,3300000,4200000
187,39,4,675000,900000,1200000,1650000,2100000
188,39,13,325000,425000,550000,775000,975000
189,39,10,275000,350000,475000,650000,850000
190,39,19,175000,250000,325000,450000,550000
191,40,1,900000,1200000,1625000,2250000,2875000
192,40,4,450000,600000,800000,1125000,1450000
193,40,13,225000,275000,375000,525000,675000
194,40,10,175000,250000,325000,450000,575000
195,40,19,125000,150000,225000,300000,375000
196,1,16,300000,375000,475000,700000,875000
197,2,16,575000,725000,925000,1250000,1600000
198,3,16,400000,525000,700000,1000000,1250000
199,4,16,500000,700000,900000,1200000,1500000
200,5,16,500000,650000,875000,1200000,1525000
201,6,16,850000,1075000,1375000,1850000,2300000
202,7,16,250000,325000,450000,625000,800000
203,8,16,625000,850000,1100000,1500000,1925000
204,9,16,125000,175000,250000,325000,425000
205,10,16,150000,200000,275000,375000,475000
206,11,16,575000,775000,1050000,1450000,1825000
207,12,16,150000,200000,250000,350000,475000
208,13,16,475000,650000,850000,1175000,1500000
209,14,16,450000,600000,800000,1100000,1400000
210,15,16,400000,500000,650000,900000,1150000
211,16,16,275000,350000,475000,625000,800000
212,17,16,200000,250000,325000,475000,600000
213,18,16,250000,325000,425000,600000,775000
214,19,16,650000,875000,1150000,1550000,2000000
215,20,16,300000,400000,550000,750000,950000
216,21,16,325000,450000,600000,850000,1075000
217,22,16,700000,900000,1200000,1650000,2100000
218,23,16,550000,725000,950000,1325000,1675000
219,24,16,475000,625000,850000,1175000,1500000
220,25,16,400000,525000,700000,950000,1225000
221,26,16,1500000,2000000,2650000,3550000,4500000
222,27,16,425000,575000,775000,1050000,1350000
223,28,16,725000,950000,1300000,1775000,2275000
224,29,16,1075000,1450000,1925000,2650000,3350000
225,30,16,650000,900000,1175000,1625000,2075000
226,31,16,500000,700000,900000,1250000,1625000
227,32,16,625000,850000,1100000,1500000,1925000
228,33,16,650000,875000,1150000,1550000,2000000
229,34,16,300000,400000,550000,750000,950000
230,35,16,300000,400000,525000,725000,925000
231,36,16,550000,725000,950000,1300000,1650000
232,37,16,350000,475000,650000,900000,1150000
233,38,16,450000,625000,825000,1150000,1450000
234,39,16,275000,350000,475000,650000,850000
235,40,16,175000,250000,325000,450000,575000
236,2,2,475000,600000,775000,1050000,1325000
237,4,2,425000,575000,750000,1000000,1250000
238,6,2,700000,900000,1150000,1550000,1925000
239,8,2,525000,700000,925000,1250000,1600000
240,11,2,475000,650000,875000,1200000,1525000
241,13,2,400000,550000,700000,975000,1250000
242,14,2,375000,500000,675000,925000,1175000
243,22,2,575000,750000,1000000,1375000,1750000
244,23,2,450000,600000,800000,1100000,1400000
245,24,2,400000,525000,700000,975000,1250000
246,25,2,325000,450000,575000,800000,1025000
247,26,2,1250000,1650000,2200000,2950000,3750000
248,27,2,350000,475000,640000,875000,1125000
249,28,2,600000,800000,1075000,1475000,1900000
250,29,2,900000,1200000,1600000,2200000,2800000
251,30,2,550000,750000,975000,1350000,1725000
252,31,2,425000,575000,750000,1050000,1350000
253,38,2,375000,500000,700000,950000,1200000
254,6,20,425000,550000,700000,925000,1150000
255,8,20,325000,425000,550000,750000,950000
256,22,20,350000,450000,600000,825000,1050000
257,23,20,275000,350000,475000,650000,850000
258,24,20,250000,325000,425000,575000,750000
259,25,20,200000,275000,350000,475000,625000
260,26,20,750000,1000000,1325000,1775000,2250000
261,28,20,375000,475000,650000,875000,1150000
262,29,20,550000,725000,950000,1325000,1675000
263,30,20,325000,450000,575000,800000,1050000
264,36,20,275000,350000,475000,650000,825000
